offence_category,court_type,start_date,end_date,price
C4,Youth,1/07/2006,30/09/2006,5035.000002
C4,Youth,1/10/2006,31/12/2006,5025
C4,Youth,1/01/2007,31/03/2007,5050.000002
C4,Youth,1/04/2007,30/06/2007,5100
C4,Youth,1/07/2007,30/09/2007,5125.000002
C4,Youth,1/10/2007,31/12/2007,5185.000002
C4,Youth,1/01/2008,31/03/2008,5220
C4,Youth,1/04/2008,30/06/2008,5305.000002
C4,Youth,1/07/2008,30/09/2008,5385
C4,Youth,1/10/2008,31/12/2008,5359.999998
C4,Youth,1/01/2009,31/03/2009,5374.999998
C4,Youth,1/04/2009,30/06/2009,5404.999998
C4,Youth,1/07/2009,30/09/2009,5475
C4,Youth,1/10/2009,31/12/2009,5464.999998
C4,Youth,1/01/2010,31/03/2010,5485.000002
C4,Youth,1/04/2010,30/06/2010,5494.999998
C4,Youth,1/07/2010,30/09/2010,5554.999998
C4,Youth,1/10/2010,31/12/2010,5685
C4,Youth,1/01/2011,31/03/2011,5730
C4,Youth,1/04/2011,30/06/2011,5785.000002
C4,Youth,1/07/2011,30/09/2011,5809.999998
C4,Youth,1/10/2011,31/12/2011,5790
C4,Youth,1/01/2012,31/03/2012,5820
C4,Youth,1/04/2012,30/06/2012,5839.999998
C4,Youth,1/07/2012,30/09/2012,5854.999998
C4,Youth,1/10/2012,31/12/2012,5845.000002
C4,Youth,1/01/2013,31/03/2013,5869.999998
C4,Youth,1/04/2013,30/06/2013,5880
C4,Youth,1/07/2013,30/09/2013,5935.000002
C4,Youth,1/10/2013,31/12/2013,5940
C4,Youth,1/01/2014,31/03/2014,5959.999998
C4,Youth,1/04/2014,30/06/2014,5974.999998
C4,Youth,1/07/2014,30/09/2014,5995.000002
C4,Youth,1/10/2014,31/12/2014,5985
C4,Youth,1/01/2015,31/03/2015,5974.999998
C4,Youth,1/04/2015,30/06/2015,6000
C4,Youth,1/07/2015,30/09/2015,6019.999998
C4,Youth,1/10/2015,31/12/2015,5989.999998
C4,Youth,1/01/2016,31/03/2016,6000
C4,Youth,1/04/2016,30/06/2016,6025.000002
